Author,City,Keywords,coordinates
Patricia Ordóñez de Pablos,Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Daniel Mellado,Madrid,[],POINT (-3.7035825 40.4167047)
David G. Rosado,Ciudad Real,[],POINT (-3.9285138 38.9854201)
Haralambos Mouratidis,London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (-0.1277653 51.5074456)
Christos Kalloniatis,Mytilene,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (26.554788 39.1037355)
Shareeful Islam,London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (-0.1277653 51.5074456)
Marc-Philippe Huget,Annecy-Chambéry,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (6.086008679698335 45.7806512)
Stefanos Gritzalis,Mytilene,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (26.554788 39.1037355)
Rahul Rastogi,Port Elizabeth,"['information security service culture', 'ISSC', 'Information security culture', 'culture', 'information security management']",POINT (25.6186512 -33.9618359)
Rossouw von Solms,Port Elizabeth,"['information security service culture', 'ISSC', 'Information security culture', 'culture', 'information security management']",POINT (25.6186512 -33.9618359)
Pedro Martinez-Julia,Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']",POINT (-1.1305431 37.9923795)
Antonio F. Gómez-Skarmeta,Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']",POINT (-1.1305431 37.9923795)
Thijs Baars,Utrecht,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']",POINT (5.1215634 52.0907006)
Marco Spruit,Utrecht,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']",POINT (5.1215634 52.0907006)
Reijo M. Savola,Oulu,"['security metrics', 'risk analysis', 'agile SW development']",POINT (25.4716809 65.0118734)
Christian Frühwirth,Espoo,"['security metrics', 'risk analysis', 'agile SW development']",POINT (24.6568435 60.2047672)
Ari Pietikäinen,Kirkkonummi,"['security metrics', 'risk analysis', 'agile SW development']",POINT (24.4406694 60.1227857)
Ismael Caballero,Ciudad Real,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201)
Luis Enrique Sánchez,Ciudad Real,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201)
Alberto Freitas,Porto,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-8.6107884 41.1494512)
Eduardo Fernández-Medina,Ciudad Real,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201)
Sipho Ngobeni,Pretoria,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']",POINT (28.1879101 -25.7459277)
Hein Venter,Pretoria,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']",POINT (28.1879101 -25.7459277)
Ivan Burke,Pretoria,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']",POINT (28.1879101 -25.7459277)
Lin Ding,Zhengzhou,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']",POINT (113.6191483 34.7487244)
Jie Guan,Zhengzhou,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']",POINT (113.6191483 34.7487244)
Wen-long Sun,Zhengzhou,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']",POINT (113.6191483 34.7487244)
Atulya K. Nagar,Liverpool,[],POINT (-2.99168 53.4071991)
T. Robinson,Chennai,[],POINT (80.270186 13.0836939)
Susan Elias,Chennai,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (80.270186 13.0836939)
Vanaja Gokul,Chennai,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (80.270186 13.0836939)
Kamala Krithivasan,Chennai,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (80.270186 13.0836939)
Marian Gheorghe,Sheffield,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (-1.4702278 53.3806626)
Gexiang Zhang,Sichuan,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']",POINT (102.4999999 30.5000001)
Yunyun Niu,Wuhan,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (114.2999353 30.5951051)
Jinbang Xu,Wuhan,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (114.2999353 30.5951051)
K.G. Subramanian,Penang,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (8.2502533 45.0332014)
Rosni Abdullah,Penang,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']",POINT (8.2502533 45.0332014)
A.S. Prasanna Venkatesan,Chennai,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (80.270186 13.0836939)
D.G. Thomas,India,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (78.6677428 22.3511148)
